94633,Corrigin,-32.33,117.87,295,IDW60801
94636,Ravensthorpe,-33.58,120.05,232,IDW60801
94637,Kalgoorlie-Boulder,-30.78,121.45,365.3,IDW60801
94638,Esperance,-33.83,121.89,25,IDW60701:IDW60801
94640,Windy Harbour,-34.84,116.03,4.5,IDW60701:IDW60801
94641,Katanning RS,-33.69,117.61,320,IDW60801
94642,Balladonia,-32.46,123.87,151,IDW60801
94644,Red Rocks Point,-32.2,127.53,3.1,IDW60701:IDW60801
94645,Eyre,-32.25,126.3,5.6,IDW60701:IDW60801
94647,Eucla,-31.68,128.9,93.1,IDS60701:IDW60701:IDW60801
94648,Adelaide (West Terrace /  ngayirdapira),-34.93,138.58,29.32,IDS60801:IDS60901
94650,Maitland Airport,-32.7,151.49,27.5,IDN60801
94651,Nullarbor,-31.45,130.9,64,IDS60701:IDS60801
94653,Ceduna,-32.13,133.7,15.3,IDS60701:IDS60801
94654,Streaky Bay,-32.81,134.2,45,IDS60701:IDS60801
94655,Tarcoola,-30.71,134.58,123,IDS60801
94656,Elliston,-33.65,134.89,7,IDS60701:IDS60801
94657,Kyancutta,-33.13,135.55,59,IDS60801
94659,Woomera,-31.16,136.81,166.6,IDS60801
94660,Mount Ive,-32.44,136.07,177,IDS60801
94661,Cleve,-33.7,136.49,193,IDS60801
94662,Cleve Airport,-33.71,136.5,175,IDS60801
94663,Warooka,-34.99,137.4,53,IDS60801
94665,Maitland,-34.37,137.67,185,IDS60801
94666,Warburto Point,-34,137.53,1,IDS60701:IDS60801
94668,Kimba,-33.14,136.41,280,IDS60801
94672,Adelaide Airport,-34.95,138.52,2,IDS60701:IDS60801:IDS60901
94673,Hawker,-31.9,138.44,340,IDS60801
94674,Leigh Creek,-30.6,138.42,258.8,IDS60801
94675,Adelaide (Kent Town),-34.92,138.62,48,IDS60801:IDS60901
94676,Arkaroola,-30.31,139.34,318,IDS60801
94677,Hindmarsh Island,-35.52,138.82,11,IDS60701:IDS60801:IDS60901
94678,Mount Crawford,-34.73,138.93,525,IDS60801:IDS60901
94679,Yongala,-33.03,138.76,521,IDS60801
94680,Eudunda,-34.18,139.08,415,IDS60801
94681,Nuriootpa,-34.48,139.01,275,IDS60801:IDS60901
94682,Loxton,-34.44,140.6,30.1,IDS60801
94683,Kuitpo,-35.17,138.68,365,IDS60801:IDS60901
94684,Yunta,-32.57,139.56,300,IDS60801
94685,Kadina,-33.97,137.66,41.14,IDS60801
94686,Fowlers Gap,-31.09,141.7,181,IDN60801
94689,Broken Hill,0,0,0,IDN60801
94690,Lameroo AWS,-35.38,140.54,110.08,IDS60801
94691,Broken Hill Airport,-32,141.47,281.3,IDN60801
94692,Lake Victoria,-34.04,141.27,26,IDN60801
94693,Mildura,-34.24,142.09,50,IDN60801:IDV60801
94694,Menindee,-32.39,142.42,61,IDN60801
94696,Balranald,-34.64,143.56,61,IDN60801
94700,Hillston,-33.49,145.52,122,IDN60801
94702,Hay Airport,-34.54,144.83,92,IDN60801
94703,Bourke,-30.04,145.95,107.3,IDN60801
94708,Nyngan,-31.55,147.2,173,IDN60801
94710,Cobar Airport,-31.54,145.8,218,IDN60801
94711,Cobar,-31.48,145.83,260,IDN60801
94712,Young,-34.25,148.25,379.6,IDN60801
94714,Cootamundra,-34.63,148.04,335,IDN60801
94715,Forbes,-33.36,147.92,230.4,IDN60801
94716,Goulburn,-34.75,149.7,670,IDN60801
94721,Peak Hill,-32.72,148.19,285,IDN60801
94723,Wellington,-32.56,148.95,305,IDN60801
94725,Grenfell,-33.89,148.15,390,IDN60801
94727,Mudgee,-32.56,149.61,471,IDN60801
94728,Coonabarabran,-31.28,149.28,520,IDN60801
94729,Bathurst Airport,-33.41,149.65,744.5,IDN60801
94730,Bathurst,-33.43,149.56,713,IDN60801
94732,Gulgong,-32.36,149.53,475,IDN60801
94735,Taralga,-34.4,149.82,845,IDN60801
94736,Prospect,-33.82,150.91,61,IDN60801
94738,Scone,0,0,0,IDN60801
94741,Lithgow,-33.48,150.13,900,IDN60801
94743,Mount Boyce,-33.62,150.27,1080,IDN60801:IDN60901
94744,Katoomba,-33.71,150.3,1017,IDN60801:IDN60901
94746,Moss Vale,-34.53,150.42,678.4,IDN60801
94749,Bellambi,-34.37,150.93,10,IDN60701:IDN60801:IDN60901
94750,Nowra,-34.95,150.54,109,IDN60801:IDN60903
94751,Jervis Bay Airfield,-35.14,150.7,57.18,IDN60701:IDN60801:IDN60903
94752,Badgerys Creek,-33.9,150.73,81.2,IDN60801:IDN60901
94754,Nullo Mountain,-32.72,150.23,1130,IDN60801
94755,Camden,-34.04,150.69,73.9,IDN60801:IDN60901
94757,Campbelltown,-34.06,150.77,112,IDN60801:IDN60901
94758,Murrurundi,-31.77,150.84,467,IDN60801
94759,Terrey Hills,-33.69,151.23,199,IDN60801:IDN60901
94760,Horsley Park,-33.85,150.86,100,IDN60801:IDN60901
94761,Barraba,-30.38,150.61,499,IDN60801
94763,Penrith,-33.72,150.68,24.7,IDN60801:IDN60901
94764,Parramatta,-33.79,151.02,55,IDN60801:IDN60901
94765,Bankstown,-33.92,150.98,7.2,IDN60801:IDN60901
94766,Canterbury,-33.91,151.11,3,IDN60801:IDN60901
